ref	stratum	drawing_id	scale_m_pt	confidence	title
WMY4	中等置信	876b5c66-beec-4221-a180-5c1f979f1ba5	0.000861	0.50	24 1区立柱桩及钢立柱平面布置图
NWPV	中等置信	6adca56c-6075-4b4f-9eee-86d6e6acd233	1.714963	0.50	电气-竣工图-_地下一层无线对讲平面图（一）
UJ9Y	零置信	544077ac-84e1-4b76-8b8f-756c8ecdc5e2	0.070556	0.00	装饰暖通-竣工图--图例
VPCH	中等置信	5f48d271-542e-462c-89dd-fce510a8c855	1.071870	0.50	结构-竣工图--南区（大、中歌剧厅）二~三层柱平面图
VJRN	满分置信·常用比例	2b54ef3d-d62c-4156-979f-5a9f7055fe09	0.052917	1.00	结构-竣工图--中歌剧厅墙上舞台预埋件定位及详图（七）
3AVP	零置信	a31da81f-836a-431f-961a-21e7ae67f7c8	0.211667	0.00	2结构详图（五）
KH9N	满分置信·**离谱比例**	978fe1b0-2849-422a-9184-2b43f47a008f	0.003528	1.00	50 2-2区、车道联通道区域、3区、4区围护体平面图
E4AA	满分置信·**离谱比例**	2f6794a4-8a35-4dbe-b925-d60a5ba2a023	0.003528	1.00	建筑-竣工图--大巴停车区节点详图（四）
XYEV	中等置信	616bcd5e-9174-4197-8978-7a5db4cba31b	0.062278	0.50	八层给排水平面图
3CYW	中等置信	234fd373-4351-4a5a-9ea8-d4000364ced1	0.003431	0.50	电气-竣工图-_地下一层公共广播及紧急广播平面图（二）
ENRE	满分置信·**离谱比例**	bcbf63b3-563f-43aa-b9d0-166054ea4a8f	0.001058	1.00	地下三层综合安防，无线覆盖平面图
REAV	满分置信·常用比例	3fcda120-5582-425c-9ed4-dd734845e291	0.052917	1.00	电气-竣工图-_一层无线信号覆盖平面图（五）
YL9E	满分置信·常用比例	1258634c-1487-447b-a063-dbf1e7de967f	0.010583	1.00	三层框架梁平面整体配筋图
JAFM	满分置信·**离谱比例**	cbf6eba2-a295-4f3e-b06e-8bed3173c9d7	0.211667	1.00	地下三层吊顶内火灾自动报警系统平面图
9FHK	零置信	534fb08a-836b-41ec-9a0d-f5fa8479be24	0.052917	0.00	8F-9F内墙节点大样图
YKWY	满分置信·**离谱比例**	d3efa908-9533-44e2-804d-d2fa9a7ad362	0.529167	1.00	建筑-竣工图--台塔屋顶隔声隔振平面图
NMC4	中等置信	ec113c85-460c-47c1-a5fa-e74ead01841b	0.039924	0.50	电气-竣工图-_地下二层公共广播及紧急广播平面图（二）
HAJN	零置信	a7b97eb3-3ee0-41c2-83a9-fb79c0af0504	0.705556	0.00	电气-竣工图--电气修改通知单
XXPA	中等置信	00c3ef54-0fe2-4866-8b73-ff0c28dcccb5	0.001300	0.50	给排水-竣工图--室外给排水总平面图
39VN	满分置信·常用比例	bf016300-0af5-4b85-8623-632c27b8f0ee	0.035278	1.00	结构-竣工图--A、B、C区（上人屋面）总体布置图
A4MK	零置信	69e66b27-5e3d-49fe-9ad4-8f62748e6440	0.035278	0.00	照明配电箱系统图（六）
RAM9	满分置信·**离谱比例**	ba5572da-c1c5-4441-8fbc-b29d2108e4a6	0.005292	1.00	一层地板下气体灭火平面图
AEUW	满分置信·**离谱比例**	7c5e87e0-3611-4741-b084-be0f91c3ebdb	0.003528	1.00	建筑-竣工图--台塔设备屋面防水保温构造节点图(三)
