code	group	stratum	drawing_id	drawing_candidates	sheet	dup_of	capped	crop_pt	mark_pt	claim	title
YWKY	dup	歌剧院·mep	83ee99a2-bc60-47ab-92dd-b32d8a62dedf	4	S1	VJMK	0	493.6,1438.9,913.6,1858.9	528.59,1648.89,878.59,1648.89	D	电气-竣工图--四层余压监控及防火门平面图（四）
A9XW	kept	第二工程·mep	b9f72fc3-a54c-4c72-a3d4-fb6468c15fba	20	S1		0	2620.7,1201.0,3040.7,1621.0	2830.66,1236.05,2830.66,1586.05	9	四层、九层气体灭火平面图
R3WE	kept	歌剧院·architecture	5ba4fb5f-43f1-4e0c-8fab-3e51dd962e5e	24	S2		0	1520.6,1757.6,1940.6,2177.6	1555.63,1967.57,1905.63,1967.57	B	建筑-竣工图--六层机房吸声平面图
EYLJ	blank	第二工程·decoration	5cfb1748-109a-4b01-9e8c-84359b38f426	-1	S2		0	831.5,236.1,1071.5,476.1	951.52,256.09,951.52,456.09	1	9F调度大厅上空平面图
X9NF	kept	第二工程·structure	8c63dfc5-3263-4930-bb0b-e175ff5776ec	32	S2		0	1202.1,238.0,1622.1,658.0	1412.06,273.04,1412.06,623.04	9	围护体平面布置图
XCJC	blank	第二工程·architecture	67c1b6f3-2805-4595-b3de-a8ddbfd93dd1	-1	S2		0	3058.1,1263.0,3298.1,1503.0	3178.09,1283.04,3178.09,1483.04	H	地下一层平面图
RHNH	kept	歌剧院·architecture	5c5462bc-665a-47fc-9bbd-c11aadca8a16	40	S2		0	2675.8,1329.2,3095.8,1749.2	2885.79,1364.18,2885.79,1714.18	3	建筑-竣工图--地下二层平面图(一)
VJMK	kept	歌剧院·mep	83ee99a2-bc60-47ab-92dd-b32d8a62dedf	4	S2		0	493.6,1438.9,913.6,1858.9	528.59,1648.89,878.59,1648.89	D	电气-竣工图--四层余压监控及防火门平面图（四）
RNUU	kept	歌剧院·structure	0dc44c24-2add-4789-a6d7-27e3aba78a2d	11	S2		0	1521.8,343.0,1941.8,763.0	1731.81,378.01,1731.81,728.01	1	结构-竣工图--南区（大、中歌剧厅）二层楼座结构平面图
XYWJ	kept	第二工程·decoration	4ab12c03-ac19-4bba-bc4d-2efa230b3728	17	S2		0	1969.5,493.1,2389.5,913.1	2179.54,528.05,2179.54,878.05	7	8F平面布置图
3FEE	kept	第二工程·architecture	b0ebb219-fd86-4e45-ad50-23f85748405f	24	S2		0	393.2,1736.6,813.2,2156.6	603.18,1771.58,603.18,2121.58	1	屋顶平面图
AWWM	dup	歌剧院·mep	c4303500-a457-47a7-a0eb-db7976f62e0c	16	S2	HFYF	0	2526.6,906.6,2838.7,1218.7	2565.56,932.63,2799.76,1192.74	1	电气-竣工图--三层电气综合监控平面图（一）
EUME	kept	歌剧院·architecture	0bde3ebe-6a26-4c2c-96aa-e85ac0341496	99	S2		0	2516.1,1423.6,2828.2,1735.7	2542.09,1462.57,2802.19,1696.77	A	建筑-竣工图--地下二层底板变标高定位图
34RK	kept	歌剧院·architecture	1f49031a-1349-4017-9f25-73a36fd56abe	87	S2		0	630.5,1690.3,1050.5,2110.3	840.45,1725.27,840.45,2075.27	12	建筑-竣工图--二层机房吸声平面图
9JX9	kept	歌剧院·mep	10e096aa-ad14-46d2-a221-e82f40e1ae71	113	S3		0	715.6,1226.3,1135.6,1646.3	925.58,1261.26,925.58,1611.26	12	电气-竣工图--一层应急照明和智能疏散指示平面图（二）
CUJ4	kept	歌剧院·mep	59b502fa-3d4c-4d71-8fde-3234a4374992	37	S3		0	1776.2,1201.0,2196.2,1621.0	1811.19,1411.02,2161.19,1411.02	K	电气-竣工图--一层电气综合监控平面图（五）
9KAJ	kept	第二工程·decoration	5cfb1748-109a-4b01-9e8c-84359b38f426	8	S3		0	266.9,880.3,686.9,1300.3	476.90,915.29,476.90,1265.29	2	9F调度大厅上空平面图
AFFK	kept	歌剧院·structure	d2d55868-cdfa-41b0-b865-350a0cc1ed97	212	S3		0	1162.3,680.9,1582.3,1100.9	1372.26,715.86,1372.26,1065.86	93	47 2-1区钢支撑与钢立柱平面布置图
34NH	dup	歌剧院·mep	03ceca6c-9d36-452d-8e33-12dd112bc411	10	S3	49YV	0	1446.8,233.8,1758.9,545.9	1472.79,272.75,1732.89,506.94	F	电气-竣工图--四层照明平面图（四）
AF3A	kept	第二工程·mep	bad3bd56-1fe9-4c44-a771-469ae9dbe8a7	20	S3		0	790.7,816.4,1210.7,1236.4	1000.74,851.36,1000.74,1201.36	1	1层消防风管平面图
VKJH	kept	第二工程·architecture	3941047a-3338-4947-b558-32100a730033	24	S3		0	1463.3,353.9,1883.3,773.9	1673.34,388.88,1673.34,738.88	7	八层防火分区平面图
VL33	kept	第二工程·architecture	f134b0ac-e83a-4cd1-9546-8b9023e21ea2	24	S3		0	1067.6,1303.5,1487.6,1723.5	1277.58,1338.46,1277.58,1688.46	2	地下二层平面图
PXAJ	kept	第二工程·decoration	7003016d-7753-4ece-a2e0-2ca03c0c43dd	22	S3		0	1183.2,525.6,1603.2,945.6	1393.22,560.57,1393.22,910.57	1	四层至七层西卫生间放大平面图、平顶图
93WP	kept	第二工程·decoration	32f87374-8732-43ee-b125-3666ff76a746	6	S3		0	28.9,593.4,448.9,1013.4	238.94,628.36,238.94,978.36	1	四层至七层西电梯厅放大平面图、平顶图
RAPC	kept	第二工程·mep	ff5ddc9a-9bbd-4651-8318-617f6fcd2e40	16	S3		0	2772.9,864.0,3192.9,1284.0	2982.94,899.02,2982.94,1249.02	9	装饰电气-竣工图--七层空调动力平面图
EML3	kept	第二工程·mep	93c696b7-9a93-41c3-b915-7d1fd95a4664	16	S3		0	3540.5,742.4,3960.5,1162.4	3750.46,777.37,3750.46,1127.37	12	装饰电气-竣工图--六层插座平面图
NA9M	kept	第二工程·architecture	d6eb3ea5-969f-4d4d-b0cc-b24a8cf19004	6	S4		0	291.8,422.0,711.8,842.0	326.77,829.58,676.77,829.58	A	八层夹层埋件布置图
FL9N	kept	歌剧院·structure	8deef01a-ddac-46bc-9be4-b32171557bc4	9	S4		0	785.4,638.7,1205.4,1058.7	995.37,673.75,995.37,1023.75	3	结构-竣工图--北区（小歌剧厅）舞台机械埋件结构平面图
XKMN	kept	第二工程·structure	de0c3b4e-8338-4c64-9605-ae97e6fcb74c	24	S4		0	3089.8,794.4,3509.8,1214.4	3299.82,829.44,3299.82,1179.44	9	地下室结构顶板标高示意图
F9FJ	kept	歌剧院·structure	26548dbe-f6b3-491f-8949-bba23734c67a	14	S4		0	1943.0,700.2,2363.0,1120.2	1977.96,910.25,2327.96,910.25	D	结构-竣工图--南区（大、中歌剧厅）五夹层结构平面图
KEFR	kept	第二工程·mep	ce4ad1fe-e3ad-4c54-a6a3-70c7ba0a9dd3	20	S4		0	2573.0,51.0,2993.0,471.0	2783.02,85.97,2783.02,435.97	8	装饰暖通-竣工图--一层防排烟平面图
U4HW	kept	第二工程·mep	6cd4ef9e-dee8-4c05-ac80-a5163529ea96	33	S4		0	891.3,764.0,1311.3,1184.0	1101.34,799.04,1101.34,1149.04	1	装饰给排水-竣工图--八层喷淋管线平面图
VR4E	kept	歌剧院·mep	c4861016-0c79-4099-89e0-ebc0d6036af7	8	S4		0	1934.3,915.7,2354.3,1335.7	2144.34,950.74,2144.34,1300.74	2	电气-竣工图-_地下二层安防（报警、监控、门禁）平面图（三）
YHFF	kept	第二工程·structure	541e3e73-4ccb-45e0-bc39-8de32744f6f0	32	S4		0	140.4,144.1,560.4,564.1	350.42,179.08,350.42,529.08	1	钢立柱及立柱桩平面布置图
AXLE	kept	第二工程·structure	b2b99ba4-9f7f-441e-92da-936ecea4cb82	15	S4		0	754.0,777.0,1174.0,1197.0	789.03,987.05,1139.03,987.05	A	四层框架梁平面整体配筋图
XRR3	kept	第二工程·structure	33037081-6b77-4cf0-88f1-fe36f527ee86	15	S4		0	77.4,1087.9,497.4,1507.9	287.37,1122.86,287.37,1472.86	1	三层结构平面图
LLJ9	dup	第二工程·decoration	cb8ac229-59c9-4aa9-8fe0-1a5a8d8efba2	16	S4	UY3J	0	3520.4,180.3,3940.4,600.3	3730.42,215.29,3730.42,565.29	11	5F平面布置图
XFMK	kept	歌剧院·structure	468d6b46-4ddd-4aae-9923-5c8d9c602819	39	S5		0	982.8,1430.2,1295.0,1742.3	1021.79,1456.23,1255.99,1716.33	9	结构-竣工图--北区（小歌剧厅）一层次梁配筋总图
EJCM	kept	歌剧院·architecture	d9cccac1-9156-4b12-b17f-822c73e05a8d	26	S5		0	1750.3,612.2,2170.3,1032.2	1960.29,647.20,1960.29,997.20	8	建筑-竣工图--台塔屋顶平面图
JNEY	blank	第二工程·mep	df2fe3bf-1a43-4d65-b0e4-f55793728cda	-1	S5		0	2707.2,268.8,2947.2,508.8	2727.16,388.79,2927.16,388.79	H	七层水管平面图
VM34	kept	歌剧院·mep	4fc5103a-537c-487d-a443-df028d5caf6d	51	S5		0	1426.3,210.2,1846.3,630.2	1636.29,245.19,1636.29,595.19	17	电气-竣工图--三层精装照明平面图
E4LL	kept	歌剧院·architecture	efd4f65a-455f-4ce6-8edb-a35be65bc25f	15	S5		0	1655.6,986.0,2075.6,1406.0	1865.61,1020.98,1865.61,1370.98	7	建筑-竣工图--四层平面图(三)
YKEH	kept	第二工程·architecture	3b6ec345-9076-48b6-bf78-9222e7bb9de4	7	S5		0	52.5,148.2,472.5,568.2	87.53,358.22,437.53,358.22	F	八层夹层埋件布置图
MWCF	blank	歌剧院·architecture	fe09ea30-80bf-4170-9f6a-9a8cd60e5305	-1	S5		0	2043.3,370.6,2283.3,610.6	2063.28,490.61,2263.28,490.61	L	建筑-竣工图--地下一层隔声隔振平面图（五）
REVK	kept	第二工程·decoration	36e98389-7efc-47c5-9185-590881c46830	17	S5		0	3279.6,801.5,3699.6,1221.5	3489.58,836.50,3489.58,1186.50	12	2F平面布置图
49YV	kept	歌剧院·mep	03ceca6c-9d36-452d-8e33-12dd112bc411	10	S5		0	1446.8,233.8,1758.9,545.9	1472.79,272.75,1732.89,506.94	F	电气-竣工图--四层照明平面图（四）
EAFJ	kept	歌剧院·mep	97f85cb1-7c96-49e7-947a-131bf163abd3	48	S5		0	1218.4,865.4,1638.4,1285.4	1428.38,900.37,1428.38,1250.37	2	电气-竣工图--二层电力平面图（二）
EY93	kept	歌剧院·structure	471eea9b-4eab-4f33-bc5f-5e04804fb1f8	29	S6		0	1010.4,1768.7,1430.4,2188.7	1220.37,1803.69,1220.37,2153.69	4	结构-竣工图--北区沉降观测点平面布置图（一）
KVLK	kept	歌剧院·architecture	d70caafa-7e86-4ff8-a9bd-21b55eef85e9	46	S6		0	1712.8,1455.5,2132.8,1875.5	1922.82,1490.52,1922.82,1840.52	23	建筑-竣工图--一层平面图(四)
FRYP	kept	歌剧院·architecture	f15fe04e-f3f6-4bea-841d-8ee09ab35ae7	38	S6		0	1776.9,544.4,2196.9,964.4	1986.87,579.38,1986.87,929.38	22	建筑-竣工图--地下一层隔声隔振平面图（二）
ULPN	dup	歌剧院·structure	d2d55868-cdfa-41b0-b865-350a0cc1ed97	212	S6	AFFK	0	1162.3,680.9,1582.3,1100.9	1372.26,715.86,1372.26,1065.86	93	47 2-1区钢支撑与钢立柱平面布置图
JXRR	dup	第二工程·architecture	3941047a-3338-4947-b558-32100a730033	24	S6	VKJH	0	1463.3,353.9,1883.3,773.9	1673.34,388.88,1673.34,738.88	7	八层防火分区平面图
9CWW	kept	歌剧院·structure	94cf89da-8935-4702-beef-57c24d32f4ac	11	S6		0	74.8,614.8,494.8,1034.8	284.79,649.83,284.79,999.83	1	结构-竣工图--南区（大、中歌剧厅）二层楼座配筋图
JFFR	kept	第二工程·mep	e00dd49c-d510-4003-886d-30d9944c6d59	25	S6		0	2961.9,257.3,3381.9,677.3	3171.94,292.29,3171.94,642.29	10	装饰给排水-竣工图--地下一层喷淋平面图
MNWR	kept	第二工程·architecture	ff6ab536-dbf3-43d5-af5b-abc9f5db2009	24	S6		0	233.1,858.0,653.1,1278.0	443.10,892.98,443.10,1242.98	1	三层防火分区平面图
EPXL	kept	第二工程·structure	41cd0a7c-8071-4ad5-9a90-56d5db7dcc49	11	S6		0	664.9,33.7,1084.9,453.7	874.89,68.69,874.89,418.69	4	0标高次梁平面整体配筋图
UY3J	kept	第二工程·decoration	cb8ac229-59c9-4aa9-8fe0-1a5a8d8efba2	16	S6		0	3520.4,180.3,3940.4,600.3	3730.42,215.29,3730.42,565.29	11	5F平面布置图
KP9X	kept	第二工程·decoration	8a0369b4-3250-429e-8d93-5d5c5a03de19	17	S6		0	3279.5,1154.9,3699.5,1574.9	3489.46,1189.93,3489.46,1539.93	12	3F平面布置图
NLXR	kept	第二工程·architecture	66899823-26de-47a3-9c4a-6d54bb91ad9e	24	S6		0	1711.3,1640.9,2131.3,2060.9	1921.26,1675.95,1921.26,2025.95	5	六层平面图
