code	group	stratum	drawing_id	drawing_candidates	sheet	dup_of	capped	crop_pt	title
4LW9	kept	歌剧院·architecture	caa6886c-0a9e-4160-9fd1-7b646fd4a2dc	7	S4		0	0.0,0.0,2834.7,2384.0	建筑-竣工图--四层隔声隔振平面图（三）
3NFN	blank	第二工程·decoration	5cfb1748-109a-4b01-9e8c-84359b38f426	-1	S4		1	594.6,975.2,634.6,1015.2	9F调度大厅上空平面图
J9RX	kept	第二工程·structure	8e3e3e01-5faa-4457-99c6-079aacc29b88	12	S4		0	431.5,632.0,1492.0,1692.4	地下一层框架梁平面整体配筋图
MWY4	kept	第二工程·structure	729c4656-cd07-4760-bd52-28ef0b897561	76	S4		1	527.7,500.5,567.7,540.5	0标高结构平面图
LR4Y	kept	第二工程·architecture	332334de-2a27-455a-8d39-fab79851b2d6	1	S4		0	0.0,0.0,4241.0,2412.0	七层检修马道平面图
E4LL	kept	第二工程·architecture	80311035-37c4-465d-8450-7b25e693dbca	1	S4		0	997.4,9.9,1191.0,203.5	S--四层平面图
WRAJ	dup	第二工程·architecture	7e7cad1c-5713-4ac3-bba7-b2258d3d722f	5	S4	AXAX	0	680.9,625.1,822.6,766.8	二层埋件布置图
JCFN	kept	歌剧院·structure	d2856f40-2eeb-40e1-af89-bd31d9f35622	2	S5		0	1071.3,0.0,1893.1,821.8	结构-竣工图--南区（大、中歌剧厅）舞台钢结构平面布置图（二）
VFWP	kept	第二工程·architecture	a2d0626b-ede8-448e-af61-9bcd93fe0737	12	S5		0	555.5,555.7,1711.7,1712.0	基地总平面图
RKPL	kept	歌剧院·architecture	4cf1d549-9726-4ec5-8abe-2a96d374b07e	1	S5		0	0.0,0.0,3370.0,2384.0	建筑-竣工图--六层（设备层）平面图
EEEK	dup	第二工程·structure	d1cc9d5e-add5-4cd5-b844-46ca50e2bfae	1	S5	V4VH	0	1600.0,1105.7,2171.4,1677.1	五层结构平面图
L4JP	blank	歌剧院·structure	fd3b158d-50ae-4add-8c43-d50b8281f7ff	-1	S5		0	600.5,767.1,821.6,988.2	07 第四阶段工况平面图
AF3A	kept	第二工程·structure	25b20a96-9b16-4b39-b487-12a59c9418be	30	S5		1	1462.2,421.9,1502.2,461.9	底板换撑平面布置图
WPRX	kept	歌剧院·architecture	caa6886c-0a9e-4160-9fd1-7b646fd4a2dc	7	S5		0	1946.6,457.0,2973.8,1484.2	建筑-竣工图--四层隔声隔振平面图（三）
LMMF	kept	歌剧院·structure	1fc56cbf-b039-474c-9c7f-50e0ef727905	2	S5		0	1598.4,1345.4,2210.3,1957.3	结构-竣工图--基础分区平面图（一）
LFWH	kept	歌剧院·structure	df9535b5-d0c5-4ee6-970b-6afe435e0fd5	16	S5		0	214.7,583.5,410.5,779.2	结构-竣工图--北区（小歌剧厅) 马道平面布置图
VLEE	blank	歌剧院·architecture	9ac531e8-7a9c-45ec-a0ed-1a9679328e14	-1	S5		1	2172.4,739.9,2212.4,779.9	建筑-竣工图--扇形屋盖排水组织平面图（二）
H9CH	kept	歌剧院·architecture	b1ab4de1-cfbc-4d06-9894-2b024b73b271	2	S6		0	3081.2,0.0,3354.4,273.2	建筑-竣工图--四层机房吸声平面图
AKJR	kept	第二工程·general	2d548e18-bbb2-4602-8f79-88bb97ec57d3	1	S6		0	0.0,0.0,2384.0,1684.0	下木配置平面图
VRNV	kept	第二工程·general	6ddc6b8c-f614-4089-8ea9-b733c67d4ab1	1	S6		0	0.0,0.0,2384.0,1684.0	绿化配置总平面图
L9PY	blank	第二工程·architecture	a2d0626b-ede8-448e-af61-9bcd93fe0737	-1	S6		0	1186.7,250.4,1407.8,471.5	基地总平面图
UYFR	kept	第二工程·decoration	5cfb1748-109a-4b01-9e8c-84359b38f426	12	S6		1	1114.3,974.5,1154.3,1014.5	9F调度大厅上空平面图
V4VH	kept	第二工程·structure	d1cc9d5e-add5-4cd5-b844-46ca50e2bfae	1	S6		0	1600.0,1105.7,2171.4,1677.1	五层结构平面图
3KVY	kept	第二工程·general	376379fa-a86f-4e38-bf2b-e287498b3ee8	1	S6		0	0.0,0.0,2384.0,1684.0	灯具放大平面图一
9XRJ	kept	歌剧院·architecture	6b446732-1ded-4e95-bc5f-38c93cc029de	2	S6		0	1823.9,86.5,1995.7,258.2	建筑-竣工图--一层完整平面图
3WFW	kept	第二工程·structure	d2a04f9d-27c9-4a60-96ce-6962bb3b2d9e	43	S6		1	344.0,690.0,384.0,730.0	五层次梁平面整体配筋图
